# Schleswig-Holstein (country=schleswig_holstein) — 15 coins, post-1788 reform era
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
KM# 160	90813	1 dreiling	1850	4.83	22.64
KM# 162	90814	1 sechsling	1850-1851	9.5	27
KM# 116	90498	1 dreiling	1787	5.8	24.85
KM# 118	90502	1 sechsling	1787	11.8	32
KM# 120	90571	2 sechsling	1787-1800	1.5	18	0.25
KM# 124	90572	2½ schillng	1787-1801	2.81	21	0.375
KM# 150	90742	2½ schillng	1809-1812	2.81	22	0.375
KM# 126	90573	5 schilling	1787-1801	4.21	23.5	0.5
KM# 152	90743	8 schilling	1816-1819	2.88	18.9	0.375
KM# 128	90615	10 schilling	1787-1796	6.13	27	0.687
KM# 154	90766	16 schilling	1816-1818	4.21		0.5
KM# 154a	90812	16 schilling	1831-1839	4.21		0.5
KM# 130	90616	⅓ speciedaler	1787-1808	9.63	31.75	0.875
KM# 135	90617	⅔ speciedaler	1787-1808	19.26	35	0.875
KM# 138.1	90687	1 speciedaler	1787-1808	28.89	39	0.875
